m,mbs,tp,pp,dp,dp method,overlap_comm,node placement,partition,estimated time (s/step),pipeline time,DP all-reduce time,Emb layer all-reduce time,is_oom,gpumem,train_cost,price_per_step,exp_partition,A6000,rank,real_rank
8,1,2,4,8,zero0,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[11, 10, 10, 11]",12.419973373413086,11.971027347926228,0.40525516867637634,0.04369066655635834,True,68.72100830078125,11178061.595888348,0.8942449276710679,10-10-10-10,16,25,0
8,1,2,4,8,zero1,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[11, 10, 10, 11]",12.419973373413086,11.971027347926228,0.40525516867637634,0.04369066655635834,True,50.79372024536133,11178061.595888348,0.8942449276710679,10-10-10-10,16,25,0
8,1,4,2,8,zero0,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[21, 21]",12.464990615844727,12.037890836652462,0.4052552580833435,0.02184533327817917,True,50.52227020263672,11218577.424195606,0.8974861939356485,20-20,16,27,0
8,1,4,2,8,zero1,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[21, 21]",12.464990615844727,12.037890836652462,0.4052552580833435,0.02184533327817917,False,33.097267150878906,11218577.424195606,0.8974861939356485,20-20,16,27,3
16,1,2,8,4,zero0,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[6, 5, 5, 5, 5, 5, 5, 6]",12.869215965270996,12.635460637308109,0.19006478786468506,0.04369066655635834,True,57.932220458984375,11582383.023342768,0.9265906418674213,5-5-5-5-5-5-5-5,16,29,0
16,1,2,8,4,zero1,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[6, 5, 5, 5, 5, 5, 5, 6]",12.869215965270996,12.635460637308109,0.19006478786468506,0.04369066655635834,True,50.04290008544922,11582383.023342768,0.9265906418674213,5-5-5-5-5-5-5-5,16,29,0
16,1,4,4,4,zero0,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[11, 10, 10, 11]",12.872282981872559,12.66037321221622,0.19006477296352386,0.02184533327817917,False,40.269649505615234,11585143.35941251,0.9268114687530008,10-10-10-10,16,31,4
16,1,4,4,4,zero1,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[11, 10, 10, 11]",12.872282981872559,12.66037321221622,0.19006477296352386,0.02184533327817917,False,32.79942321777344,11585143.35941251,0.9268114687530008,10-10-10-10,16,31,4
8,1,1,8,8,zero1,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[6, 5, 5, 5, 5, 5, 5, 6]",12.878510475158691,12.385873478763113,0.40525516867637634,0.08738133311271667,True,84.57624816894531,11590748.146270538,0.927259851701643,5-5-5-5-5-5-5-5,16,33,0
8,1,1,8,8,zero0,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[6, 5, 5, 5, 5, 5, 5, 6]",12.878510475158691,12.385873478763113,0.40525516867637634,0.08738133311271667,True,103.50997161865234,11590748.146270538,0.927259851701643,5-5-5-5-5-5-5-5,16,33,0
